"KOID"	"B1T24"	"B2T24"	"B3T24"	"B1T48"	"B2T48"	"B3T48"
"K07001"	1088	1824	3768	2482	3455	3955
"K07003"	1315	1027	6156	1547	2767	2814
"K07005"	329	327	402	468	609	708
"K07009"	119	124	57	137	297	98
"K07010"	159	167	478	379	441	611
"K07012"	1041	1150	1357	1155	2424	1986
"K07015"	528	675	841	1166	1346	1459
"K07016"	225	240	117	64	82	14
"K07023"	272	295	341	447	622	889
"K07025"	812	929	1148	750	1459	1831
"K07027"	1061	1153	1479	2057	2730	2962
"K07029"	31	36	7	34	58	113
"K07030"	8567	10228	23245	12802	10666	14615
"K07031"	23	9	59	57	68	123
"K07035"	333	318	341	614	720	876
"K07037"	275	456	877	451	669	933
"K07038"	2	5	2	17	24	28
"K07040"	4684	6335	18641	24411	15820	19384
"K07042"	589	794	1126	1549	1575	1421
"K07043"	576	615	955	1391	1788	2097
"K07045"	417	550	165	689	1119	558
"K07048"	44	45	45	107	165	202
"K07052"	2336	2729	3818	3318	5210	5203
"K07053"	148	209	212	456	500	869
"K07056"	1083	1509	2389	3362	3024	3277
"K07058"	719	842	1373	960	1312	2079
"K07069"	102	64	272	487	333	1584
"K07071"	629	965	1055	510	586	745
"K07075"	1241	1707	2452	1133	1035	1512
"K07078"	1655	2919	2451	481	317	406
"K07079"	600	715	1219	1883	2274	2572
"K07080"	363	426	374	453	865	812
"K07082"	1132	1541	1496	2095	2301	2521
"K07085"	487	516	1261	1155	1572	2196
"K07088"	1410	1640	1812	1960	3018	3442
"K07089"	694	547	2145	2303	1219	1803
"K07090"	1121	1241	1565	3113	3849	3772
"K07091"	189	226	798	387	576	845
"K07095"	912	1147	1322	2274	2290	2331
"K07098"	718	929	754	1155	1684	2029
"K07099"	502	572	728	1183	1318	1280
"K07105"	464	430	801	818	1001	1211
"K07106"	70	99	167	193	341	454
"K07107"	430	572	767	524	704	823
"K07112"	7	24	77	156	232	376
"K07114"	385	528	1654	872	1362	1894
"K07115"	108	216	288	261	341	379
"K07118"	585	887	1232	854	638	768
"K07124"	680	764	794	1031	1415	1584
"K07126"	1371	1463	2899	2662	3969	4963
"K07133"	4582	6087	9499	6781	11723	12737
"K07137"	2778	3462	5485	6106	7225	8154
"K07138"	498	565	912	1598	1407	1545
"K07139"	694	889	864	960	1427	1578
"K07141"	290	350	724	867	873	1307
"K07148"	209	235	504	557	895	1194
"K07149"	5	4	5	6	27	27
"K07150"	1032	922	4358	1429	1351	1402
"K07154"	948	1255	1495	2027	3402	3406
"K07161"	5	5	0	13	32	76
"K07164"	149	239	812	123	192	235
"K07166"	460	583	670	668	711	855
"K07171"	820	932	1177	2716	3675	2935
"K07172"	145	169	210	280	358	504
"K07173"	309	361	592	392	597	715
"K07175"	1303	2407	3534	998	590	762
"K07192"	2502	3707	3930	2021	1786	3502
"K07216"	277	278	530	276	534	593
"K07217"	15	23	18	97	110	68
"K07219"	2	6	1	11	41	60
"K07220"	248	317	262	268	322	427
"K07221"	111	115	230	322	544	794
"K07223"	598	1046	1812	294	379	488
"K07238"	833	970	1391	2168	2888	3326
"K07240"	1136	1463	2642	2927	3517	4688
"K07250"	7	11	4	16	69	79
"K07258"	5133	6299	6478	10803	11133	10979
"K07259"	123	148	328	330	521	640
"K07260"	894	1004	1197	2551	2888	2395
"K07263"	317	655	2374	526	785	986
"K07271"	423	504	677	742	1110	1202
"K07272"	173	193	220	613	652	1569
"K07273"	70	87	238	308	409	526
"K07277"	227	365	1388	513	836	1022
"K07284"	496	651	1225	522	958	1270
"K07301"	1352	1664	4831	4805	4263	4868
"K07313"	211	284	91	430	947	280
"K07315"	7	9	4	26	23	59
"K07316"	740	1089	1896	1752	2560	2297
"K07319"	56	66	131	119	160	223
"K07322"	365	836	2544	243	289	382
"K07335"	10216	12568	34925	27271	16261	24507
"K07341"	84	81	113	152	118	167
"K07377"	10	9	7	39	44	39
"K07386"	249	371	1114	424	638	790
"K07387"	81	110	367	215	299	400
"K07391"	1365	1831	1815	3242	4070	3916
"K07402"	1332	1476	3298	3175	3173	3800
"K07404"	118	120	279	153	143	307
"K07405"	421	1004	1778	306	414	606
"K07406"	45	20	42	80	130	128
"K07407"	4421	5294	5717	5721	8512	8755
"K07441"	8	25	53	21	20	27
"K07443"	88	123	116	154	222	289
"K07444"	1249	1366	2198	2397	2745	3417
"K07447"	817	1128	1809	629	895	1261
"K07448"	905	1230	170	1246	1015	370
"K07452"	100	165	177	205	403	538
"K07455"	5	12	18	41	65	93
"K07456"	2446	2989	4423	6104	6439	7784
"K07458"	94	71	133	144	264	306
"K07460"	453	524	638	736	1061	1083
"K07461"	63	74	124	63	139	162
"K07462"	1794	2198	3852	4130	4944	5571
"K07464"	362	505	462	392	655	717
"K07466"	5	9	39	17	31	31
"K07467"	356	303	239	222	369	293
"K07473"	3371	4005	6474	5713	4273	5011
"K07474"	3	3	12	17	27	40
"K07478"	1121	1200	1832	3266	3575	3952
"K07481"	1820	2754	3154	2691	3977	5243
"K07483"	166	210	124	123	144	117
"K07484"	1384	1580	1619	1557	2817	3075
"K07491"	355	505	168	760	1232	800
"K07496"	1521	2293	2769	915	1274	2768
"K07497"	151	228	50	254	359	729
"K07502"	508	679	883	330	681	869
"K07504"	253	225	125	188	184	162
"K07507"	91	145	248	467	564	688
"K07533"	47	61	211	384	326	341
"K07552"	32	17	47	104	103	192
"K07559"	123	177	38	352	417	119
"K07560"	530	715	1020	1128	1350	1394
"K07566"	1811	2464	2422	1537	2333	2884
"K07568"	786	1090	1731	2179	2826	3068
"K07571"	347	383	1110	2597	1737	1564
"K07574"	297	312	424	534	557	658
"K07576"	6099	6943	9712	4201	3950	5140
"K07584"	1438	1979	2344	1595	1301	1880
"K07588"	1032	1088	972	9000	5209	3363
"K07590"	5	13	84	64	40	32
"K07612"	0	2	3	1	6	8
"K07636"	1575	2221	3640	2371	3312	3482
"K07646"	2667	3792	4783	8814	8292	7148
"K07650"	27	32	48	115	100	148
"K07652"	33	39	79	369	263	221
"K07657"	3	9	24	21	22	117
"K07658"	409	450	531	865	1288	1196
"K07667"	1013	1319	1885	3774	3733	3041
"K07668"	19	17	45	144	114	113
"K07699"	881	1141	1012	1523	1804	1389
"K07706"	0	3	9	2	16	10
"K07707"	3	4	3	4	4	11
"K07713"	332	530	1115	1037	1568	2139
"K07718"	1830	2306	3847	2399	3577	4660
"K07720"	2537	2906	4391	2806	4395	5447
"K07726"	284	248	517	450	688	1050
"K07727"	207	238	266	817	624	469
"K07729"	446	626	1609	403	573	832
"K07735"	275	453	663	213	257	354
"K07736"	766	1087	1226	606	529	538
"K07738"	827	1111	1713	1143	1313	1480
"K07742"	350	359	684	1510	1414	1368
"K07750"	23	17	56	168	149	170
"K07770"	28	27	26	70	92	76
"K07777"	642	898	942	177	437	413
"K07783"	306	293	593	786	1223	1794
"K07791"	536	1061	1456	465	510	701
"K07793"	68	67	152	254	347	587
"K07813"	319	329	567	1375	1447	860
"K07814"	208	272	129	131	213	425
"K07816"	1312	1700	2274	1045	1761	2082
"K07862"	173	203	109	330	487	437
"K07979"	1025	1283	2498	1175	1985	2076
"K08115"	1	6	2	8	10	8
"K08138"	122	185	500	309	521	640
"K08151"	0	0	0	0	1	0
"K08156"	92	97	189	304	455	662
"K08159"	18	37	9	15	58	101
"K08169"	166	169	430	313	423	609
"K08177"	104	102	133	283	452	498
"K08191"	144	221	666	431	719	959
"K08202"	115	89	181	91	283	241
"K08217"	403	418	3214	3998	2574	1937
"K08218"	309	406	850	586	777	1085
"K08222"	107	101	167	231	419	479
"K08223"	64	73	174	223	336	480
"K08234"	90	155	187	79	232	270
"K08289"	110	187	585	263	323	489
"K08301"	949	1522	2146	747	1119	1497
"K08303"	2771	3392	6510	6595	7738	8618
"K08307"	114	130	367	227	378	523
"K08309"	231	302	237	564	722	499
"K08323"	36	34	43	101	131	170
"K08325"	343	641	1133	345	446	608
"K08383"	28	23	24	38	58	45
"K08384"	3542	4777	5384	5279	6134	7938
"K08414"	16	17	13	34	46	74
"K08483"	10095	13873	12846	9672	8688	11345
"K08591"	1376	1678	2160	2300	2627	2901
"K08600"	2002	2437	2959	4569	4145	5769
"K08602"	806	958	1280	724	1282	1720
"K08641"	82	105	159	206	348	423
"K08659"	502	507	1651	1301	1167	1609
"K08678"	212	274	849	181	217	356
"K08679"	76	84	168	178	409	429
"K08681"	266	306	425	399	725	716
"K08717"	8	7	34	29	42	76
"K08722"	28	22	83	182	187	340
"K08737"	165	181	59	194	333	118
"K08744"	376	519	293	480	669	502
"K08867"	55	45	15	28	35	20
