"KOID"	"B1T24"	"B2T24"	"B3T24"	"B1T48"	"B2T48"	"B3T48"
"K00003"	1790	2347	2008	2134	2646	3093
"K00005"	3028	4974	742	2808	2109	2206
"K00008"	749	824	721	1112	1205	1865
"K00012"	423	461	1054	782	1211	1983
"K00013"	1240	1631	1833	1694	2545	3007
"K00014"	1277	1521	2428	2506	3394	3758
"K00016"	584	698	1053	501	785	1013
"K00018"	848	916	2012	1526	1801	2201
"K00020"	27	20	8	25	25	133
"K00024"	3325	5940	12256	1510	1231	1468
"K00027"	1385	1577	1957	1850	2441	2677
"K00029"	172	224	669	435	699	965
"K00031"	2288	4180	4600	2562	2984	3680
"K00033"	2718	5214	5875	1064	826	1083
"K00036"	1068	1988	3380	766	677	733
"K00040"	908	1044	3280	2902	3278	3390
"K00041"	749	960	5112	1306	1618	1572
"K00045"	65	91	133	189	326	440
"K00046"	813	1512	4838	1037	1139	1040
"K00048"	17722	29485	7476	19357	12230	6341
"K00052"	1032	1349	1313	1299	2141	2595
"K00053"	4580	6767	5663	2143	2433	4983
"K00057"	2171	2976	3601	2788	3162	3906
"K00058"	3601	5123	4718	2262	2569	3632
"K00059"	2351	3263	5530	6259	5362	6083
"K00067"	1796	2744	8541	6211	5262	7412
"K00068"	11	9	3	4	24	15
"K00074"	15597	24621	41397	33970	27030	43355
"K00075"	1317	1579	2088	1724	2134	2726
"K00077"	404	509	1242	1137	1553	1446
"K00087"	556	603	316	1018	864	1588
"K00088"	3913	5570	7978	6640	6806	7903
"K00091"	118	109	91	197	372	290
"K00096"	815	768	707	596	869	1234
"K00097"	231	382	1152	260	355	465
"K00099"	1453	1847	3862	2437	2429	3170
"K00104"	7817	13899	724	5334	3715	16113
"K00111"	1109	1426	1642	1582	1906	3477
"K00128"	80	102	193	484	482	781
"K00133"	2346	3317	2630	6161	5182	4410
"K00134"	38671	57758	68176	61449	47719	74176
"K00145"	791	972	1915	1848	2215	2518
"K00147"	1517	2067	2310	2492	3074	3659
"K00156"	866	1407	1956	698	888	1140
"K00169"	190	199	107	256	211	116
"K00170"	12	18	4	127	115	93
"K00171"	5	0	0	36	32	23
"K00172"	92	128	46	127	86	51
"K00174"	2283	3512	3910	1584	1604	2596
"K00175"	1366	2109	2277	887	892	1489
"K00176"	315	462	342	202	201	354
"K00177"	1125	1605	1076	616	605	948
"K00179"	1724	2599	1516	1462	2075	1920
"K00180"	584	927	476	492	693	556
"K00196"	76	120	37	100	119	64
"K00198"	8	13	8	8	79	69
"K00208"	90	248	517	155	228	255
"K00215"	1757	2657	1965	3407	3011	2888
"K00226"	459	928	1669	270	352	481
"K00230"	84	150	227	103	163	185
"K00239"	1370	2861	8224	1098	1530	1729
"K00240"	568	1246	3713	544	753	729
"K00241"	416	810	2267	205	233	311
"K00243"	608	699	1071	570	1036	1606
"K00244"	2200	3734	11063	6602	3468	5913
"K00254"	11	8	39	62	60	112
"K00259"	625	1304	1904	533	641	908
"K00262"	11980	24955	45154	7414	7492	8375
"K00265"	2665	3064	5011	3224	5303	7123
"K00266"	5642	7264	6368	6270	7617	13446
"K00275"	73	98	241	197	251	337
"K00278"	1219	1875	1954	1326	2031	2411
"K00281"	340	484	1544	560	892	1195
"K00282"	77	116	47	166	184	258
"K00283"	104	161	90	291	276	374
"K00286"	3099	4937	3295	2108	2231	3159
"K00287"	536	724	811	469	713	703
"K00289"	17	17	22	53	71	128
"K00290"	2236	3201	5376	2467	3112	4814
"K00297"	815	1058	2437	1813	2520	2671
"K00303"	0	3	3	8	40	50
"K00327"	1	0	0	1	5	8
"K00330"	19	22	67	46	81	94
"K00331"	84	76	193	186	285	448
"K00334"	16	15	1	48	34	84
"K00335"	92	115	95	366	346	671
"K00336"	182	226	130	748	666	1636
"K00337"	98	93	212	210	337	447
"K00338"	24	26	90	71	112	134
"K00339"	38	35	96	87	124	174
"K00340"	19	32	61	39	87	104
"K00341"	118	141	328	266	505	621
"K00342"	102	90	273	242	400	475
"K00343"	79	100	210	188	330	424
"K00344"	3	2	3	10	21	32
"K00346"	224	388	1435	227	344	484
"K00347"	144	297	978	164	233	291
"K00348"	87	185	643	120	171	226
"K00349"	107	145	573	96	183	156
"K00350"	89	186	664	113	161	197
"K00351"	205	360	1449	257	414	619
"K00366"	44	57	82	144	198	413
"K00375"	803	761	1140	1811	2762	3543
"K00382"	627	783	1157	1079	1506	2011
"K00384"	1775	2554	5080	3537	3804	5292
"K00385"	123	141	35	137	102	122
"K00390"	254	204	170	163	276	230
"K00394"	376	345	525	360	703	1037
"K00395"	75	88	126	80	192	258
"K00425"	1073	2304	3533	483	422	602
"K00426"	594	1321	1906	302	396	540
"K00432"	599	984	892	189	203	230
"K00525"	346	468	1727	726	1083	1366
"K00528"	2297	3004	1774	2246	2174	4575
"K00537"	136	163	254	246	246	277
"K00548"	2264	2602	3878	4776	6427	7273
"K00554"	2158	3082	2676	3483	3853	3521
"K00558"	4919	6644	4338	7870	8919	8690
"K00560"	786	1204	1159	856	1060	1234
"K00561"	29	61	167	48	93	118
"K00563"	1865	2162	8419	7311	4465	6700
"K00566"	1460	1699	2671	3730	4888	5433
"K00567"	218	270	438	678	855	912
"K00574"	41	31	17	10	45	42
"K00575"	1367	1904	1157	1118	981	984
"K00595"	969	1131	1634	2024	2352	2834
"K00600"	2894	4322	3270	3074	2866	3669
"K00602"	3216	4616	4329	2585	3253	3763
"K00603"	271	723	1399	211	306	322
"K00604"	926	1296	2037	1968	2350	2835
"K00605"	745	1621	2983	521	625	917
"K00606"	474	625	1083	453	761	1029
"K00609"	2146	3086	4594	4822	4400	7587
"K00610"	912	1165	2277	2475	1902	3539
"K00611"	1082	1362	2567	2244	2430	2920
"K00615"	7628	10042	13456	13895	11707	19997
"K00616"	3358	5130	3689	3128	2967	4706
"K00620"	1301	1548	2227	1597	2001	2502
"K00625"	2808	3839	7171	5968	5521	8570
"K00626"	21980	35481	51151	29414	26949	44276
"K00627"	9	13	19	43	103	113
"K00632"	53	33	61	263	305	425
"K00633"	30	12	74	63	66	160
"K00634"	80	92	696	596	532	839
"K00639"	860	1772	3160	393	466	636
"K00640"	1104	1389	1828	2115	2384	3018
"K00645"	1633	2351	2621	1286	1820	1781
"K00647"	29	37	93	148	195	281
"K00648"	1758	2681	4119	1731	2445	2845
"K00651"	850	1041	1486	1393	1950	2416
"K00652"	144	201	491	451	714	932
"K00655"	1557	1888	3084	3598	3447	4209
"K00656"	4336	6543	11063	16827	11560	12207
"K00657"	455	534	910	1063	1286	1232
"K00658"	467	859	1266	451	511	660
"K00661"	734	864	1589	1874	2529	2796
"K00666"	184	193	528	365	572	748
"K00677"	163	428	1112	244	401	434
"K00681"	17	37	8	46	36	146
"K00688"	14941	23035	24239	15775	12705	18511
"K00690"	1043	1310	1518	531	969	1418
"K00700"	7476	10490	11512	8620	9066	10683
"K00702"	3906	5285	2431	4426	4710	3731
"K00703"	7591	10588	10885	10680	8377	8700
"K00705"	9597	15485	16653	9996	8617	12235
"K00709"	136	176	241	238	392	678
"K00710"	8	10	12	2	6	6
"K00714"	11	8	17	24	49	59
"K00721"	83	162	507	212	331	525
"K00728"	144	119	258	460	585	962
"K00748"	117	110	304	219	336	421
"K00756"	419	441	1248	1885	1533	1884
"K00757"	1271	1883	1816	1703	1691	1803
"K00759"	825	1057	2059	1008	1083	1615
"K00760"	863	1141	2379	2065	1731	2480
"K00761"	1606	2172	2657	2593	2626	3360
"K00762"	2848	3813	5054	2605	3032	4098
"K00763"	2376	3127	4679	5377	6128	6561
"K00764"	6524	9250	4496	4312	4783	5740
"K00765"	823	1042	1354	1283	2053	2292
"K00766"	345	322	492	393	808	939
"K00767"	810	1335	1673	724	1173	1470
"K00768"	603	654	1013	1218	1425	1992
"K00773"	1041	1286	2226	2251	2667	3267
"K00782"	376	808	1373	194	157	171
"K00783"	345	527	657	626	986	966
"K00784"	745	939	1538	1318	1702	2262
"K00788"	916	1093	1194	1034	1707	1956
"K00789"	1696	2268	3906	3447	4739	4601
"K00790"	2969	4112	4591	6729	6074	6804
"K00791"	954	1339	1538	1576	2059	2344
"K00793"	523	818	989	404	776	1043
"K00794"	412	534	551	436	597	952
"K00796"	111	218	444	221	343	542
"K00797"	630	685	1441	927	1372	1780
"K00798"	121	190	383	195	263	374
"K00800"	1242	1578	2177	2522	2984	3610
"K00805"	577	831	1124	1020	1075	1191
"K00806"	1304	1733	2538	1726	1929	2196
"K00809"	258	297	489	43	96	162
"K00812"	281	429	1482	858	967	1177
"K00817"	1222	1499	2228	1749	2857	3287
"K00820"	2235	2889	4457	4264	4771	6615
"K00821"	1274	1505	2638	2609	3321	4091
"K00826"	2414	3120	3048	1817	2486	3368
"K00831"	2710	3711	4962	2010	2470	3243
"K00833"	279	339	519	558	882	1119
"K00844"	340	489	780	302	398	448
"K00845"	3606	5381	9484	4427	4356	4920
"K00847"	2476	3265	4393	13555	10241	11214
"K00848"	536	832	3504	922	1482	1820
"K00849"	1704	2420	4806	2576	3414	3934
"K00850"	4467	6198	10343	3857	4032	5315
"K00852"	681	1365	2217	580	824	1081
"K00853"	140	222	18	194	233	694
"K00854"	4146	4881	4034	6014	5170	8010
"K00857"	136	177	399	544	784	805
"K00858"	929	1350	1339	1204	1594	1822
"K00859"	698	775	1019	1348	1512	1760
"K00860"	32	33	81	73	93	141
"K00864"	3447	6272	1827	5597	4185	11505
"K00865"	475	425	788	718	1164	1676
"K00868"	855	1028	2188	2736	2893	3127
"K00872"	127	131	444	809	777	682
"K00873"	2060	2513	3709	4660	5127	5396
"K00874"	2312	2764	6780	3748	4610	4630
"K00876"	2057	2618	4085	3931	4519	5250
"K00878"	944	1214	783	858	1215	1423
"K00882"	2719	3026	8490	2067	2145	6169
"K00891"	977	1261	1636	1007	1589	2009
"K00895"	324	477	1836	260	403	516
"K00899"	215	385	248	278	317	611
"K00901"	128	208	53	186	203	185
"K00912"	113	133	378	239	436	543
"K00919"	1371	1791	2949	2626	2612	3532
"K00922"	10	10	43	28	40	48
"K00925"	2930	3955	4674	6761	6180	7621
"K00926"	2120	2720	2005	2882	2670	9453
"K00927"	11690	17721	25257	24548	18657	24330
"K00928"	2383	3416	4333	4231	4852	4731
"K00929"	389	630	2107	1119	1117	1737
"K00930"	717	828	1580	1402	1833	2174
"K00931"	884	1192	1324	1455	1926	2178
"K00936"	87	118	238	440	412	530
"K00937"	2550	3136	3557	3981	5169	6001
"K00939"	1989	2705	4498	3394	2500	3941
"K00940"	180	440	1505	133	126	159
"K00941"	759	990	944	1353	1662	1985
"K00942"	1122	1298	1924	1880	2481	3257
"K00943"	418	507	754	1065	1014	955
"K00945"	1230	1744	1697	1843	2031	3067
"K00946"	108	190	489	246	423	514
"K00948"	2843	3991	3762	5472	4597	5796
"K00949"	890	1097	2254	2213	2283	2613
"K00950"	38	36	86	112	169	273
"K00951"	4238	6193	8647	4639	5389	7382
"K00954"	2040	3077	8017	1967	1974	1983
"K00955"	218	273	356	318	475	872
"K00956"	472	528	716	512	1077	1381
"K00957"	275	354	506	369	652	941
"K00962"	2659	3735	5640	5809	6442	9163
"K00963"	697	882	3380	3799	2425	3055
"K00965"	1411	1871	2298	2146	2840	2973
"K00969"	640	806	1265	1369	1488	2069
"K00971"	499	797	1869	1011	1151	1782
"K00972"	1308	1814	1983	428	634	753
"K00973"	1932	2995	8999	6245	5597	7821
"K00974"	1905	2512	2406	2633	3379	3271
"K00975"	17956	26134	29805	15058	11843	17115
"K00978"	314	381	321	264	357	412
"K00979"	538	709	436	442	525	633
"K00980"	69	75	58	116	137	51
"K00981"	1364	1727	2855	2226	2564	3306
"K00986"	17	19	56	29	64	67
"K00989"	23	23	60	157	164	191
"K00991"	571	745	987	615	981	1323
"K00995"	649	915	1631	1691	1387	1668
"K00997"	77	71	131	261	373	484
"K01000"	1599	2382	4098	3266	3245	3994
"K01002"	129	169	217	123	337	374
"K01006"	30440	46774	64514	73642	46233	60260
"K01007"	0	0	6	5	6	18
"K01008"	1109	1193	2094	1770	1763	2332
"K01012"	787	903	1306	1190	2175	2394
"K01023"	67	103	141	392	286	244
"K01026"	3048	2895	868	2356	1720	8352
"K01029"	6	7	0	22	23	79
"K01034"	780	730	554	2113	1235	1011
"K01035"	706	639	490	1466	888	702
"K01042"	34	37	43	175	147	287
"K01048"	349	355	446	286	552	816
"K01051"	798	1026	2349	3536	3254	4068
"K01056"	729	835	1079	1757	2120	2568
"K01057"	607	1195	1718	450	483	569
"K01060"	662	840	175	145	110	137
"K01066"	592	432	3574	1004	733	822
"K01069"	792	1060	1626	1432	1813	2389
"K01077"	918	1670	3277	1224	2025	2404
"K01079"	397	416	1330	1761	1346	1571
"K01081"	96	153	374	128	234	295
"K01082"	43	61	251	114	141	204
"K01089"	96	154	409	272	448	643
"K01091"	2557	3104	4442	4622	5458	6652
"K01092"	300	424	736	250	447	610
"K01095"	74	55	153	162	225	354
"K01104"	1116	1446	1804	3160	3645	4142
"K01118"	27	36	31	140	131	154
"K01119"	1377	1345	1345	2493	1936	1843
"K01126"	1808	2160	4325	4452	5403	6595
"K01129"	1603	2111	2541	3787	3798	3456
"K01130"	336	381	630	993	1501	2086
"K01142"	574	752	1321	1104	1453	1895
"K01151"	1148	1536	2201	2116	2598	2772
"K01153"	4149	5085	7330	8594	11831	11057
"K01154"	1732	2128	2898	3679	5429	4910
"K01156"	679	1015	2392	2432	2875	2579
"K01159"	399	427	712	1639	1612	1635
"K01163"	486	786	1194	735	909	1060
"K01173"	677	1520	2780	688	1162	1450
"K01176"	5098	9851	6697	1581	2190	3462
"K01179"	8214	12296	3780	8845	10378	6312
"K01181"	1083	1634	2549	1015	1932	2137
"K01182"	781	825	999	508	1004	1212
"K01185"	83	83	85	214	263	383
"K01186"	6384	9812	1760	1789	2000	2525
"K01187"	3351	4233	11671	9460	11034	13248
"K01190"	9155	11477	20136	25006	26931	30700
"K01191"	944	1056	2298	1126	1501	2719
"K01192"	1010	1400	2879	1911	2999	3943
"K01193"	5108	6511	10186	198097	136774	117059
"K01195"	431	420	442	775	1205	1177
"K01198"	2095	2748	3530	2576	4081	5032
"K01200"	5962	11419	7780	2936	4018	5657
"K01201"	255	521	828	361	588	702
"K01205"	536	611	1141	1464	2315	2923
"K01206"	1266	1820	2253	2085	3361	3797
"K01207"	752	1001	645	825	922	1497
"K01208"	803	791	1330	654	1369	1698
"K01209"	2232	2819	1981	2188	3030	3583
"K01214"	1603	1794	2396	1335	2699	3349
"K01215"	719	856	1286	529	972	1520
"K01218"	3588	4680	1416	2778	4112	2728
"K01222"	43	46	111	55	61	234
"K01223"	1081	1225	2468	3216	3532	4557
"K01224"	2102	2594	3107	1533	2926	4108
"K01232"	12	18	75	29	72	216
"K01235"	210	406	1095	468	674	941
"K01241"	231	557	1025	232	275	465
"K01243"	620	720	1166	1040	1286	1684
"K01246"	202	262	552	654	768	823
"K01247"	31	35	58	110	86	180
"K01251"	564	854	1282	1004	1170	1064
"K01255"	109	202	25	146	114	317
"K01258"	2075	3218	5502	3048	3232	4170
"K01262"	3112	4219	7137	6054	6523	7985
"K01265"	3679	4905	8938	5378	4750	7076
"K01266"	151	170	492	503	584	653
"K01267"	1247	1319	3040	3249	2656	3379
"K01270"	2166	3522	6537	2174	2683	3931
"K01271"	108	112	124	361	293	325
"K01273"	299	252	484	1455	1009	1129
"K01277"	186	334	895	321	511	682
"K01278"	470	863	1951	818	1242	1611
"K01281"	916	830	300	291	231	236
"K01284"	430	598	2207	835	1273	1720
"K01295"	78	125	83	315	270	339
"K01297"	92	115	239	222	258	421
"K01299"	1030	1185	1424	1618	1330	1658
"K01304"	71	73	62	24	32	13
"K01305"	223	182	188	439	575	579
"K01308"	148	207	43	57	99	132
"K01322"	217	273	742	429	690	988
"K01338"	3557	4958	10460	7344	8005	9452
"K01356"	745	889	1158	1768	2077	2318
"K01358"	1328	1818	2541	2442	2328	3113
"K01372"	501	787	3039	2047	2048	2510
"K01409"	1558	1926	3530	3538	3878	4700
"K01420"	548	612	821	384	555	945
"K01421"	3447	3463	10585	2969	5059	5776
"K01424"	1658	2559	3686	2571	3100	2971
"K01425"	194	241	589	264	358	461
"K01433"	39	70	269	137	178	282
"K01438"	315	494	632	229	356	425
"K01439"	1205	1463	2065	3819	3559	3106
"K01442"	2322	3612	4889	2972	3705	4574
"K01443"	5535	7344	8356	8195	6782	8964
"K01448"	3196	4714	3363	3285	4934	5546
"K01449"	125	138	136	842	1019	636
"K01457"	117	152	52	38	50	7
"K01462"	855	916	1826	1602	2034	2528
"K01464"	252	276	186	905	952	1412
"K01465"	1359	1623	2035	2851	2982	3619
"K01468"	330	848	1514	335	444	609
"K01470"	11	10	18	75	85	110
"K01476"	105	132	151	265	263	424
"K01480"	207	230	1184	714	859	1235
"K01486"	519	642	798	862	1043	971
"K01487"	203	224	312	852	762	1284
"K01488"	372	405	649	304	559	880
"K01489"	611	816	1076	969	1160	1362
"K01491"	1137	1528	2272	2277	2438	3082
"K01493"	931	1209	1335	1047	1432	1632
"K01495"	93	120	233	140	213	322
"K01501"	1	5	0	1	13	12
"K01507"	371	499	205	428	408	362
"K01512"	290	339	419	385	684	822
"K01515"	1345	1849	2119	1130	1336	1515
"K01520"	873	983	1853	1290	1662	1921
"K01524"	161	188	228	159	257	477
"K01530"	1130	1531	3323	5103	3862	3100
"K01531"	501	540	849	1565	2024	2122
"K01533"	2326	3221	5587	3785	4818	6682
"K01534"	2616	3169	8779	5458	5969	6263
"K01537"	1725	2467	2397	3764	4737	4305
"K01546"	235	246	336	707	1174	960
"K01547"	342	334	343	856	1483	1099
"K01548"	120	130	104	390	624	463
"K01560"	186	174	1143	991	929	1186
"K01567"	336	415	499	383	666	249
"K01571"	4266	6013	8543	9723	8325	11469
"K01579"	243	330	665	237	424	501
"K01580"	317	275	821	529	640	859
"K01585"	169	232	653	369	604	791
"K01586"	3165	4182	4409	4216	4561	5817
"K01588"	1005	1542	2146	1026	1211	1340
"K01589"	26	39	9	38	24	113
"K01591"	1172	1268	1214	2161	2309	3176
"K01596"	19994	35254	2260	8380	6009	3642
"K01599"	87	125	781	222	308	482
"K01604"	5436	7043	7961	14330	9531	8698
"K01607"	106	122	218	323	444	677
"K01609"	244	265	438	407	759	985
"K01610"	11524	17729	44257	25408	17971	25994
"K01611"	122	124	60	162	313	137
"K01613"	640	1039	1535	481	683	1049
"K01619"	1007	1276	3165	2816	2553	3150
"K01620"	657	740	1360	1715	1984	2725
"K01621"	499	548	1076	1482	1486	2331
"K01624"	8746	13319	17697	10723	8642	12758
"K01625"	1548	1842	4316	2296	2700	2559
"K01626"	659	826	752	1158	1906	1284
"K01627"	133	256	541	201	325	419
"K01628"	170	201	147	305	378	220
"K01629"	159	284	834	161	216	348
"K01633"	53	53	114	140	219	258
"K01639"	1217	1527	5031	2293	1872	2211
"K01640"	21	22	30	70	96	103
"K01647"	3892	6615	7053	4238	4387	5660
"K01649"	1820	2402	2107	2078	3345	3427
"K01652"	3208	4086	3730	3549	5421	6537
"K01653"	1051	1377	1456	1005	1661	1884
"K01657"	501	466	725	792	1369	1882
"K01658"	167	186	320	272	558	690
"K01661"	71	117	256	133	215	334
"K01662"	3324	4405	6902	5759	6984	7954
"K01665"	66	58	160	143	277	389
"K01666"	1094	1276	1029	1025	1808	2115
"K01667"	6372	11482	2658	1470	1319	1118
"K01673"	225	419	720	255	392	567
"K01676"	570	1196	3030	589	642	905
"K01677"	861	1101	1134	1452	2039	2352
"K01678"	479	584	665	916	1099	1176
"K01679"	61	45	41	162	170	239
"K01681"	6109	9509	11685	4537	5806	6844
"K01684"	865	683	4752	1305	1025	1073
"K01685"	704	1068	2786	1131	1343	1346
"K01686"	984	1290	2671	2512	3292	3561
"K01687"	2724	3700	2967	2800	3753	5260
"K01689"	2870	3934	8362	3937	3599	3684
"K01693"	480	595	553	532	823	909
"K01695"	225	225	331	299	650	712
"K01696"	428	472	751	677	1320	1670
"K01698"	133	148	92	310	267	377
"K01699"	2609	5099	885	2785	2084	7959
"K01703"	1014	1217	1197	1322	2389	2856
"K01704"	422	434	443	453	784	1008
"K01706"	28	36	63	229	298	324
"K01708"	26	38	43	151	198	276
"K01709"	492	673	501	570	1047	954
"K01710"	2369	3461	12418	7040	6405	8535
"K01711"	351	421	1032	686	944	1295
"K01712"	905	1792	2810	830	1005	1327
"K01714"	2838	4399	6415	5526	5163	5416
"K01715"	11888	18923	29528	23425	18927	33722
"K01719"	107	181	609	142	218	257
"K01733"	2328	2954	3416	3591	4079	5081
"K01734"	2982	3798	7009	3598	3451	4481
"K01735"	1141	1535	1891	2149	2517	2946
"K01736"	1602	2294	3522	2819	3337	3857
"K01737"	111	278	530	101	129	157
"K01738"	1870	2275	4923	4998	5518	6239
"K01739"	85	115	103	27	74	25
"K01740"	3048	3833	4866	5189	7109	8065
"K01744"	953	1535	2464	895	937	1234
"K01745"	229	454	1102	387	493	732
"K01749"	226	230	379	305	560	659
"K01751"	2079	3092	606	5202	3345	13319
"K01752"	912	1205	2101	3577	3186	3755
"K01754"	1000	1138	1251	1710	2488	2573
"K01755"	1083	1392	2629	2136	2625	3036
"K01756"	2258	3459	5732	2917	3300	4409
"K01759"	178	295	650	238	331	536
"K01770"	319	334	490	480	591	908
"K01775"	1325	1852	2575	2684	3251	3723
"K01776"	520	713	1620	1639	1901	2534
"K01778"	1058	1297	4395	1745	2041	2409
"K01779"	56	57	116	268	297	451
"K01783"	1146	1400	2091	2234	2253	3182
"K01784"	2736	3924	5823	2942	3139	4404
"K01785"	2625	3650	4819	3926	4576	4890
"K01787"	961	1085	587	1057	1181	1360
"K01788"	420	510	2117	804	687	751
"K01790"	643	895	1823	1892	1888	2310
"K01791"	542	797	1440	947	991	1477
"K01803"	4371	6529	9642	8566	6926	9892
"K01804"	428	550	1297	825	958	2470
"K01805"	201	298	847	384	514	756
"K01807"	207	293	228	285	302	459
"K01808"	822	1066	1883	1296	1427	1696
"K01809"	1569	2545	3200	1389	1444	1961
"K01810"	7694	10411	12588	11453	9315	11890
"K01811"	4831	6499	4535	5308	5539	8009
"K01812"	1027	1540	8903	2881	2958	3564
"K01813"	199	375	1505	136	237	298
"K01814"	895	1006	1258	1061	1534	1919
"K01815"	652	1111	3810	1496	1414	1457
"K01817"	450	514	747	622	1106	1384
"K01818"	301	344	386	763	1296	997
"K01834"	1265	1919	2586	1477	1464	2003
"K01835"	9557	14267	12294	9857	8253	12710
"K01838"	348	164	271	75	97	75
"K01839"	1015	1219	1815	2383	2097	2648
"K01840"	201	344	1130	325	534	751
"K01843"	2475	2598	1372	4735	2795	3066
"K01844"	1993	2143	1027	4075	1932	2102
"K01845"	208	180	174	594	443	538
"K01847"	1029	2126	5245	996	1308	1725
"K01848"	1318	1284	256	19929	11173	5330
"K01849"	331	299	36	3596	1933	1131
"K01854"	2372	3007	4002	2957	3934	4232
"K01858"	395	739	3670	352	449	615
"K01866"	1373	1731	3245	2415	3322	3339
"K01867"	1717	2297	2870	3519	3765	4108
"K01868"	3105	4260	6191	4404	4996	7075
"K01869"	3486	4832	8062	8284	7985	10989
"K01870"	3694	5067	10571	9339	10090	12349
"K01872"	5730	7713	11307	7117	8042	13225
"K01873"	2882	4095	5113	4644	6010	7451
"K01874"	2734	3423	4399	4229	5466	6650
"K01875"	2665	3752	5924	5231	5124	6023
"K01876"	3736	5160	8170	6044	6417	7599
"K01880"	2056	2945	4990	4887	4851	6284
"K01881"	2633	3641	7805	6819	6280	6397
"K01883"	1633	2049	2377	2671	3485	3963
"K01885"	2377	3198	5589	6158	6186	7146
"K01886"	2527	3274	6022	6383	5812	7750
"K01887"	1664	2093	4963	4070	4561	5812
"K01889"	809	1057	1660	1394	1917	2388
"K01890"	1984	2699	5404	2910	3988	4880
"K01892"	2439	3345	3320	2844	3339	4053
"K01893"	1659	2075	3240	2757	2972	3980
"K01895"	1733	2658	1571	1610	1524	1681
"K01897"	4230	6758	7188	6492	6043	12288
"K01902"	539	921	1341	471	459	601
"K01903"	761	1294	2196	970	780	888
"K01911"	122	129	252	340	590	790
"K01912"	2142	3295	1924	2600	2881	2431
"K01914"	1297	1846	2652	3414	2812	3264
"K01915"	4752	6412	6929	11720	10507	14091
"K01918"	447	678	1176	465	747	1040
"K01919"	27	28	105	101	90	203
"K01921"	1653	2091	2464	2885	2895	3754
"K01923"	2456	3299	2537	2660	2311	2802
"K01924"	2404	3127	5527	4426	5142	5727
"K01925"	1588	2169	4510	3331	3712	4401
"K01926"	1385	1966	1825	2205	2486	2761
"K01928"	3237	5004	12892	5066	4879	6284
"K01929"	1844	2337	3470	2993	3135	4152
"K01933"	2503	3483	2315	1801	2345	2906
"K01934"	782	952	918	1438	1390	1880
"K01935"	112	102	144	162	173	208
"K01937"	3210	4582	6163	3811	4548	5766
"K01938"	2511	3384	2748	5611	6531	7620
"K01939"	4364	6520	9242	7422	6797	8829
"K01940"	2589	3546	4782	2967	3545	4438
"K01941"	244	250	114	86	114	19
"K01945"	2705	3795	2931	2310	2999	3531
"K01950"	4360	5156	9003	7088	7717	8433
"K01951"	4443	6030	10079	14696	13019	13625
"K01952"	4489	5962	8487	5566	7004	8683
"K01953"	1343	1498	2181	3709	4827	6638
"K01955"	6369	8548	7896	6965	8727	10960
"K01956"	1549	2039	2544	1926	2429	3159
"K01958"	698	650	347	802	760	2225
"K01960"	4710	9789	14548	3079	2564	3445
"K01961"	1700	2634	2244	1124	1689	1992
"K01962"	1963	2725	2800	1546	2405	2430
"K01963"	462	682	482	731	976	811
"K01966"	1260	2338	2370	2038	1882	1922
"K01971"	88	132	279	147	189	180
"K01972"	2100	2607	4205	3697	5191	5707
"K01989"	1042	1245	1891	6437	7115	3695
"K01990"	8196	10080	17625	37088	33270	37572
"K01991"	311	410	1151	568	956	1225
"K01992"	4106	5189	9395	5317	8639	10279
"K01993"	645	1102	1612	726	969	1293
"K01995"	462	695	589	818	1079	1100
"K01996"	511	638	639	733	925	1092
"K01997"	524	767	636	828	949	922
"K01998"	575	740	682	882	1042	1157
"K01999"	951	1280	1375	1690	1668	2112
"K02000"	102	117	224	252	373	509
"K02001"	93	106	170	218	326	456
"K02002"	80	92	155	165	321	387
"K02003"	7353	8774	11007	13265	18590	17629
"K02004"	15716	19735	20707	23309	34556	31367
"K02005"	1682	1882	4917	3577	4270	4770
"K02006"	203	199	83	126	203	160
"K02007"	274	469	101	188	172	253
"K02008"	198	216	89	163	180	194
"K02009"	22	25	16	34	57	87
"K02010"	1	1	2	7	30	29
"K02011"	3	6	2	5	35	54
"K02012"	1	7	0	3	17	27
"K02013"	741	839	1297	1557	2334	2748
"K02014"	1622	2395	4570	1931	3167	4408
"K02015"	1300	1468	2348	2603	4075	4489
"K02016"	1542	1802	2903	3132	4390	4643
"K02017"	1015	988	740	3426	2528	5299
"K02018"	442	482	468	2217	1519	2953
"K02019"	23	19	86	96	115	311
"K02020"	675	781	740	2884	2111	3651
"K02025"	9338	12176	7646	6997	6135	7886
"K02026"	11279	16801	8643	6249	4903	7703
"K02027"	18149	22546	24601	13959	11853	19510
"K02028"	336	350	365	362	863	683
"K02029"	555	608	1238	1018	1720	1459
"K02030"	987	1144	1940	1533	2464	2478
"K02031"	1441	1647	773	1458	1647	2627
"K02033"	1331	1417	764	1691	2033	3121
"K02034"	1229	1406	585	1273	1281	2369
"K02035"	6560	6402	1878	4028	3645	10135
"K02036"	431	366	535	766	1367	1289
"K02037"	473	450	580	890	1559	1561
"K02038"	420	515	576	873	1529	1516
"K02039"	336	369	434	571	964	919
"K02040"	1778	1893	4406	2564	3081	4173
"K02041"	77	75	61	25	40	18
"K02042"	87	86	54	51	63	22
"K02044"	93	95	239	58	77	67
"K02045"	343	362	504	367	788	970
"K02046"	192	179	282	242	458	475
"K02047"	153	176	305	207	418	489
